Rank,Country,Overall Score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation,Life Exp,Obesity Rate,Ingredient Quality,Health Index
1,Finland,83.7,91.9,70.5,88.4,82.6,82.351,22.2,Heavily Regulated,70.9
2,Ireland,81.7,92.6,70.5,86.1,75.1,82.716,25.3,Heavily Regulated,55.3
3,Norway,80.5,87.2,60.4,86.8,87.4,83.393,23.1,Heavily Regulated,60.2
4,France,80.2,91.3,69,87.7,70.3,83.229,21.6,Heavily Regulated,61.9
5,Netherlands,80.1,92.7,70.7,84.7,69.2,82.451,20.4,Heavily Regulated,64.7
6,Japan,79.5,89.8,81.2,77.4,66.1,84.82,4.3,,60.5
7,Sweden,79.1,91.9,68.3,85,68.3,83.505,20.6,,64.9
8,Canada,79.1,88.3,75.7,89.5,60.1,82.847,29.4,,69.8
9,United Kingdom,78.8,91.5,71.6,77.6,71.1,82.156,27.8,,67.2
10,Portugal,78.7,90,77,79.8,64.5,82.24,20.8,,54.7
11,Switzerland,78.2,89.2,76.8,73.5,69.5,84.255,19.5,Heavily Regulated,58.8
12,Austria,78.1,91.3,67.1,81.2,69.7,82.412,20.1,Heavily Regulated,56.9
13,United States,78,87.1,65.1,88.8,69.4,78.203,36.2,Lower Ingredient Regulation,75.9
14,Denmark,77.8,92.1,63.2,89.1,63.8,81.882,19.7,Heavily Regulated,64.4
15,New Zealand,77.8,91.6,67.7,73.1,75.1,83.006,30.8,,62.5
16,Czech Republic,77.7,91.3,69.4,76.3,70.3,,,,
17,Belgium,77.5,92.6,64.6,88.4,61,82.293,22.1,,59.3
18,Costa Rica,77.4,83,73,79.2,73.3,77.32,25.7,,40.8
19,Germany,77,87.9,67,79.9,70.8,80.989,22.3,,65.5
20,Spain,75.7,89,63.1,81.2,66.4,83.912,23.8,,60.9
21,Poland,75.5,87.4,63.8,81.5,66.7,76.996,23.1,,55.7
22,Australia,75.4,93.3,61.1,84,58.8,83.579,29,,71.1
23,United Arab Emirates,75.2,86.7,73.8,81.3,55.2,79.196,31.7,,39.6
24,Israel,74.8,88.6,67.2,87.4,52.2,82.3,,,
25,Chile,74.2,82.4,68.8,77,66.6,79.519,28,,56.2
26,China,74.2,86.4,79.2,72,54.5,78.587,6.2,,47.5
27,Italy,74,89.5,68.7,75.9,57.3,84.057,19.9,,51.9
28,Singapore,73.1,93.2,77.8,69.7,44.3,84.133,6.1,,57.4
29,Bulgaria,73,85.8,66.5,79.5,56.6,71.528,25,,59.9
30,Qatar,72.4,88.6,72.9,71.7,51,81.559,35.1,,48.7
31,Greece,72.2,88.5,58.3,80.8,57.3,80.614,24.9,,51.5
32,Kazakhstan,72.1,78,67.2,76.3,65.4,69.489,21,,46.1
33,Uruguay,71.8,80,65.6,73.8,65.8,78,27.9,,40.3
34,Hungary,71.4,86.7,63.3,74.4,57,74.958,26.4,,54.4
35,Oman,71.2,88.6,64.3,73.2,53.6,73.935,27,,39.1
36,Slovakia,71.1,89.1,55.3,77.9,57.6,75.33,20.5,,54.4
37,Peru,70.8,79.7,58.6,75.2,68.1,73.385,19.7,,54.9
38,Bahrain,70.3,91.3,60.1,76.3,47.3,79.246,29.8,,36.6
39,South Korea,70.2,76.8,71.5,71.5,58.5,84.024,4.7,,65.4
40,Panama,70,84.4,63.3,69.7,58.3,76.826,22.7,,53.5
41,Saudi Arabia,69.9,83.2,67.2,71.6,53.7,77.905,35.4,,44.9
42,Malaysia,69.9,87,59.5,74.7,53.7,76.26,15.6,,56.4
43,Russia,69.1,77.8,61.4,78.7,56.6,70.116,23.1,,49.1
44,Mexico,69.1,76,60,78.9,60.2,74.832,28.9,,57
45,Romania,68.8,85.1,60.6,77.9,47.1,74.117,22.5,,45.7
46,Vietnam,67.9,84,60.7,70.2,52.2,73.6,,,
47,Jordan,66.2,85.3,59.8,55.4,58.9,74.215,35.5,,42.8
48,Ecuador,65.6,70.8,59.3,69.4,62,77.894,19.9,,50.8
49,Turkey,65.3,58.4,65.3,78.5,61.2,78.475,32.1,,50
50,Kuwait,65.2,80,62.9,67.8,45.5,80.264,37.9,,36.8
51,Brazil,65.1,63,58.6,83.9,56.3,73.425,22.1,,51.2
52,Dominican Rep.,65,73.4,65,65.3,53.5,,,,
53,Bolivia,65,71.6,61.6,71.7,53.2,64.928,20.2,,29.9
54,Argentina,64.8,62,63.4,85.5,49.4,76.064,28.3,,54.4
55,Belarus,64.5,67.8,61.9,69,58.5,73.246,24.5,,43.9
56,El Salvador,64.2,72.5,71.2,71.5,38.1,71.475,24.6,,40.8
57,Morocco,63,74.6,42.9,73.1,60,74.973,26.1,,33.6
